date,code,open,high,low,close,volume,amount,adjustflag,turn
2022-10-31,sz.301095,103.5000,123.9800,86.6000,122.0300,56755562,6045044009.5400,3,142.261200
2022-11-30,sz.301095,120.5200,124.6000,97.0100,97.2100,47025336,5234503462.7700,3,117.872000
2022-12-30,sz.301095,98.5300,105.8800,85.2700,89.0300,29922699,2894065783.2600,3,75.002900
2023-01-31,sz.301095,89.0300,100.6000,87.9900,93.6500,31513755,2945313300.1000,3,78.991200
2023-02-28,sz.301095,93.6900,104.2000,91.7900,93.1900,47726387,4678256593.7400,3,114.443100
2023-03-31,sz.301095,92.9600,116.8000,92.6700,109.1000,69762124,7218573768.9900,3,165.855200
2023-04-28,sz.301095,110.5900,120.9000,96.4500,98.6100,71824717,7988565901.9500,3,170.759000
2023-05-31,sz.301095,96.3600,97.4900,81.8100,91.9600,45146488,3984851193.3500,3,107.333000
2023-06-30,sz.301095,90.8400,94.3500,78.4600,82.6500,37155937,3260600877.4800,3,88.335800
2023-07-31,sz.301095,82.9000,84.1600,69.3000,71.2400,30592401,2336658186.1600,3,72.731400
2023-08-31,sz.301095,71.2800,77.5000,60.0200,73.7500,49801348,3428923197.5800,3,63.045400
2023-09-28,sz.301095,74.3400,90.5800,71.5300,79.3600,85285298,6827042148.2200,3,92.680100
2023-10-31,sz.301095,79.0000,99.9800,76.8100,90.8000,55497104,4734252081.6200,3,49.588300
2023-11-30,sz.301095,89.9800,94.9000,80.7800,81.2500,41335963,3634980257.9600,3,36.934800
2023-12-29,sz.301095,81.9200,81.9700,69.6200,74.7300,30220286,2309130711.7300,3,27.844600
2024-01-31,sz.301095,75.0000,75.0000,51.6100,51.9200,46464042,2948511729.5800,3,43.287500
2024-02-29,sz.301095,52.3000,66.2000,44.1300,64.9600,48014159,2765618212.4000,3,44.732000
2024-03-29,sz.301095,65.0200,66.8400,50.8100,54.8900,62831473,3743890638.7800,3,58.536200
2024-04-30,sz.301095,55.0300,60.3000,45.5000,51.8700,69368100,3600018065.4400,3,64.626000
2024-05-31,sz.301095,53.0100,54.9000,46.3900,50.2000,51977698,2650621936.5900,3,48.424400
2024-06-28,sz.301095,49.6600,51.5000,40.8500,41.1200,104245787,4909531606.6300,3,97.119300
2024-07-31,sz.301095,41.1000,42.2000,37.9000,42.0200,69436478,2780643698.4200,3,64.689700
2024-08-30,sz.301095,42.0000,43.5800,36.2200,38.5100,50597537,2024935810.2600,3,47.138900
2024-09-30,sz.301095,38.7000,49.5000,34.3400,49.5000,53394023,2081333534.5300,3,49.743900
2024-10-31,sz.301095,59.4000,59.4600,44.2700,56.3100,153718796,8058879705.5000,3,143.210400
2024-11-29,sz.301095,56.3000,81.8000,54.5800,61.1000,211830242,14078391533.1400,3,197.349300
2024-12-31,sz.301095,61.1100,69.2000,52.0700,52.0700,108400500,6541642651.6700,3,100.990100
2025-01-27,sz.301095,52.1300,52.5200,46.8000,48.0800,64430636,3166690427.6100,3,60.026200
2025-02-28,sz.301095,49.0700,61.5000,48.5800,53.8100,127166495,7151095277.4400,3,118.473200
2025-03-31,sz.301095,54.8300,59.9900,52.0100,52.8900,101096186,5675326706.3400,3,93.938900
2025-04-30,sz.301095,52.8900,53.6000,43.3800,49.3300,67159124,3342802923.9500,3,62.404500
2025-05-30,sz.301095,49.5600,56.7400,47.0000,54.9000,64738180,3390012902.3700,3,60.155100
2025-06-30,sz.301095,54.9000,58.7600,49.5500,56.2400,111644675,6051142188.2500,3,103.740800
2025-07-31,sz.301095,56.2500,65.9700,51.8200,63.0100,113567353,6471426016.4800,3,105.527400
2025-08-29,sz.301095,63.3000,99.0100,61.8800,90.6300,272885933,22579570972.6400,3,160.694300
2025-09-30,sz.301095,92.0000,97.6000,76.0000,89.0500,179896117,15455859630.4500,3,103.089800
2025-10-31,sz.301095,88.8500,94.6700,73.9800,76.6000,108794310,8836627683.4300,3,62.344600
2025-11-28,sz.301095,76.6200,77.4500,64.1800,67.9000,75666203,5349384986.3100,3,43.360500
2022-01-28,sz.301123,51.0000,58.0000,33.5000,33.6100,94192858,4082787922.0700,3,183.747300
2022-02-28,sz.301123,34.4000,37.5500,32.0100,34.1500,140258747,4891277139.9700,3,273.610700
2022-03-31,sz.301123,34.3600,36.2100,26.5100,26.7500,96802700,2984419456.9900,3,188.838300
2022-04-29,sz.301123,26.7900,30.2800,20.6000,22.3200,64922682,1647676705.8100,3,126.648300
2022-05-31,sz.301123,22.7000,25.5000,22.1300,24.6500,47356682,1134757430.1600,3,92.381200
